Comment,Designator,Footprint,LCSC
22K,R4,R_1206_3216Metric,
22K,R5,R_1206_3216Metric,
22K,R6,R_1206_3216Metric,
100K,RV2,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,
100K,RV3,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,
TL084,U1,SOIC-14_3.9x8.7mm_P1.27mm,
AudioJack2,J1,3.5mm_tip_switch_thonkiconn,
AudioJack2,J2,3.5mm_tip_switch_thonkiconn,
AudioJack2,J3,3.5mm_tip_switch_thonkiconn,
100K,RV1,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,
10K,R1,R_1206_3216Metric,
10K,R2,R_1206_3216Metric,
10K,R3,R_1206_3216Metric,
Conn_02x08_Odd_Even,J4,PinHeader_2x08_P2.54mm_Vertical,
Conn_01x04_Female,J5,PinHeader_1x04_P2.54mm_Vertical,
